日期，项目名称，类别，支出类型，单价 (元),数量，总价 (元),已付 (元),供应商/商家，备注，付款状态
2026-03-05，电梯采购，电梯安装，预付款，100000,1,100000,5000，待定，家用电梯，未付 (已预付 5000)
2026-03-05，装修设计费，设计费，预付款，33000,1,33000,20000，待定，全屋设计方案，未付 (已预付 20000)
2026-03-15，装修押金，装修手续，全款，2000,1,2000,2000，物业，装修押金，已付
2026-03-15，清运费，装修手续，全款，3397,1,3397,3397，物业，建筑垃圾清运费，已付
2026-03-15，围挡和雨布材料，材料费，全款，140,1,140,140，自购，施工防护材料，已付
2026-03-15，倒楼板，土建工程，预付款，38000,1,38000,30000，待定，楼板浇筑，未付 (已预付 30000)
2026-03-15，工具采购，工具类，全款，200,1,200,200，自购，锄头、割草机、斗车，已付
2026-03-15，敲墙费，土建工程，全款，13000,1,13000,13000，待定，拆除墙体（含追加 5000），已付
2026-03-15，充电桩电缆采购，电气工程，全款，450,1,450,450，自购，充电桩电缆，已付
2026-03-17，绿色彩条布，材料费，全款，55,1,55,55，自购，防护用彩条布，已付
2026-04-07，消防管拆除，土建工程，全款，900,1,900,900，待定，消防管道拆除，已付
